"ISO 639-2","French Name of Language","All French Names","All English Names","ISO 639-1"
"abk","abkhaze","abkhaze","Abkhazian","ab"
"ace","aceh","aceh","Achinese",
"ach","acoli","acoli","Acoli",
"ada","adangme","adangme","Adangme",
"ady","adyghé","adyghé","Adyghe; Adygei",
"aar","afar","afar","Afar","aa"
"afh","afrihili","afrihili","Afrihili",
"afr","afrikaans","afrikaans","Afrikaans","af"
"afa","afro-asiatiques, autres langues","afro-asiatiques, autres langues","Afro-Asiatic (Other)",
"ain","aïnou","aïnou","Ainu",
"aka","akan","akan","Akan","ak"
"akk","akkadien","akkadien","Akkadian",
"alb/sqi","albanais","albanais","Albanian","sq"
"gsw","alémanique","alémanique","Swiss German; Alemannic",
"ale","aléoute","aléoute","Aleut",
"alg","algonquines, langues","algonquines, langues","Algonquian languages",
"ger/deu","allemand","allemand","German","de"
"nds","allemand, bas","bas allemand; bas saxon; allemand, bas; saxon, bas","Low German; Low Saxon; German, Low; Saxon, Low",
"gmh","allemand, moyen haut (ca. 1050-1500)","allemand, moyen haut (ca. 1050-1500)","German, Middle High (ca.1050-1500)",
"goh","allemand, vieux haut (ca. 750-1050)","allemand, vieux haut (ca. 750-1050)","German, Old High (ca.750-1050)",
"alt","altai du Sud","altai du Sud","Southern Altai",
"tut","altaïques, autres langues","altaïques, autres langues","Altaic (Other)",
"amh","amharique","amharique","Amharic","am"
"anp","angika","angika","Angika",
"eng","anglais","anglais","English","en"
"enm","anglais moyen (1100-1500)","anglais moyen (1100-1500)","English, Middle (1100-1500)",
"ang","anglo-saxon (ca.450-1100)","anglo-saxon (ca.450-1100)","English, Old (ca.450-1100)",
"apa","apache","apache","Apache languages",
"ara","arabe","arabe","Arabic","ar"
"arg","aragonais","aragonais","Aragonese","an"
"arc","araméen","araméen","Aramaic",
"arp","arapaho","arapaho","Arapaho",
"arw","arawak","arawak","Arawak",
"arm/hye","arménien","arménien","Armenian","hy"
"rup","aroumain","aroumain; macédo-roumain","Aromanian; Arumanian; Macedo-Romanian",
"art","artificielles, autres langues","artificielles, autres langues","Artificial (Other)",
"asm","assamais","assamais","Assamese","as"
"ast","asturien","asturien; bable","Asturian; Bable",
"ath","athapascanes, langues","athapascanes, langues","Athapascan languages",
"aus","australiennes, langues","australiennes, langues","Australian languages",
"ava","avar","avar","Avaric","av"
"ave","avestique","avestique","Avestan","ae"
"awa","awadhi","awadhi","Awadhi",
"aym","aymara","aymara","Aymara","ay"
"aze","azéri","azéri","Azerbaijani","az"
"ast","bable","asturien; bable","Asturian; Bable",
"bak","bachkir","bachkir","Bashkir","ba"
"ban","balinais","balinais","Balinese",
"bal","baloutchi","baloutchi","Baluchi",
"bat","baltiques, autres langues","baltiques, autres langues","Baltic (Other)",
"bam","bambara","bambara","Bambara","bm"
"bai","bamilékés, langues","bamilékés, langues","Bamileke languages",
"bad","banda, langues","banda, langues","Banda languages",
"bnt","bantoues, autres langues","bantoues, autres langues","Bantu (Other)",
"nds","bas allemand","bas allemand; bas saxon; allemand, bas; saxon, bas","Low German; Low Saxon; German, Low; Saxon, Low",
"nds","bas saxon","bas allemand; bas saxon; allemand, bas; saxon, bas","Low German; Low Saxon; German, Low; Saxon, Low",
"dsb","bas-sorabe","bas-sorabe","Lower Sorbian",
"bas","basa","basa","Basa",
"baq/eus","basque","basque","Basque","eu"
"btk","batak, langues","batak, langues","Batak languages",
"bej","bedja","bedja","Beja",
"bem","bemba","bemba","Bemba",
"ben","bengali","bengali","Bengali","bn"
"ber","berbères, autres langues","berbères, autres langues","Berber (Other)",
"bho","bhojpuri","bhojpuri","Bhojpuri",
"bis","bichlamar","bichlamar","Bislama","bi"
"bel","biélorusse","biélorusse","Belarusian","be"
"bih","bihari","bihari","Bihari","bh"
"bik","bikol","bikol","Bikol",
"byn","bilen","blin; bilen","Blin; Bilin",
"bin","bini","bini; edo","Bini; Edo",
"bur/mya","birman","birman","Burmese","my"
"bla","blackfoot","blackfoot","Siksika",
"byn","blin","blin; bilen","Blin; Bilin",
"nob","bokmål, norvégien","norvégien bokmål","Bokmål, Norwegian; Norwegian Bokmål","nb"
"bos","bosniaque","bosniaque","Bosnian","bs"
"bua","bouriate","bouriate","Buriat",
"bra","braj","braj","Braj",
"bre","breton","breton","Breton","br"
"bug","bugi","bugi","Buginese",
"bul","bulgare","bulgare","Bulgarian","bg"
"cad","caddo","caddo","Caddo",
"krl","carélien","carélien","Karelian",
"car","carib","karib; galibi; carib","Galibi Carib",
"spa","castillan","espagnol; castillan","Spanish; Castilian","es"
"cat","catalan","catalan; valencien","Catalan; Valencian","ca"
"cau","caucasiennes, autres langues","caucasiennes, autres langues","Caucasian (Other)",
"ceb","cebuano","cebuano","Cebuano",
"cel","celtiques, autres langues","celtiques, autres langues","Celtic (Other)",
"cmc","chames, langues","chames, langues","Chamic languages",
"cha","chamorro","chamorro","Chamorro","ch"
"shn","chan","chan","Shan",
"chr","cherokee","cherokee","Cherokee",
"nya","chewa","chichewa; chewa; nyanja","Chichewa; Chewa; Nyanja","ny"
"chy","cheyenne","cheyenne","Cheyenne",
"chb","chibcha","chibcha","Chibcha",
"nya","chichewa","chichewa; chewa; nyanja","Chichewa; Chewa; Nyanja","ny"
"chi/zho","chinois","chinois","Chinese","zh"
"chn","chinook, jargon","chinook, jargon","Chinook jargon",
"chp","chipewyan","chipewyan","Chipewyan",
