authtypecode	tagfield	tagsubfield	liblibrarian	libopac	repeatable	mandatory	tab	authorised_value	value_builder	seealso	isurl	hidden	linkid	kohafield	frameworkcode
	000	@	fixed length control field	fixed length control field	0	1	0	NULL	NULL	NULL	0	0	0		
	001	@	control field	control field	0	1	0				0	0	0		
	005	@	control field	control field	0	0	0				0	0	0		
	015	@	ISADN	ISADN	0	0	0				0	0	0		
	035	a	System Control Number	System Control Number	0	0	0				0	-5	0		
	035	z	Cancelled or invalid control number	Cancelled or invalid control number	1	0	0				0	-5	0		
	100	a	General Processing Data	General Processing Data	0	1	1				0	-5	0		
	101	a	Language used by the Entity	Language used by the Entity	0	0	1				0	-5	0		
	102	a	Country of Nationality	Country of Nationality	1	0	1				0	-5	0		
	102	b	Locality	Locality	1	0	1				0	-5	0		
	106	a	One Character Code	One Character Code	0	0	1				0	-5	0		
	120	a	Coded data: personal names	Coded data: personal names	0	0	1				0	-5	0		
	123	d	Co-ordinates: Westernmost Longitude	Co-ordinates: Westernmost Longitude	0	0	1				0	-5	0		
	123	e	Co-ordinates: Easternmost Longitude	Co-ordinates: Easternmost Longitude	0	0	1				0	-5	0		
	123	f	Co-ordinates: Nothernmost Latitude	Co-ordinates: Nothernmost Latitude	0	0	1				0	-5	0		
	123	g	Co-ordinates: Southernmost Latitude	Co-ordinates: Southernmost Latitude	0	0	1				0	-5	0		
	150	a	Name Processing Data	Name Processing Data	0	0	1				0	-5	0		
	152	a	Cataloguing Rules	Cataloguing Rules	0	0	1				0	-5	0		
	152	b	Subject System	Subject System	0	0	1				0	-5	0		
	154	a	Title Processing Data	Title Processing Data	0	0	1				0	-5	0		
	160	a	Geographic Area Code	Geographic Area Code	1	0	1				0	-5	0		
	200	4	Relator Code	Relator Code	1	0	2				0	0	0		
	200	7	Script	Script	0	0	2				0	0	0		
	200	8	Language of Cataloguing	Language of Cataloguing	0	0	2				0	0	0		
	200	a	Entry Element	Entry Element	0	0	2				0	0	0		
	200	b	Part of Name Other than Entry Element	Part of Name Other than Entry Element	0	0	2				0	0	0		
	200	c	Additions to Name Other than Dates	Additions to Name Other than Dates	0	0	2				0	0	0		
	200	d	Roman Numerals	Roman Numerals	0	0	2				0	0	0		
	200	f	Dates	Dates	0	0	2				0	0	0		
	200	g	Expansion of Initials of Forename	Expansion of Initials of Forename	0	0	2				0	0	0		
	200	j	Form Subdivision	Form Subdivision	1	0	2				0	0	0		
	200	x	Topical Subdivision	Topical Subdivision	1	0	2				0	0	0		
	200	y	Geographical Subdivision	Geographical Subdivision	1	0	2				0	0	0		
	200	z	Chronological Subdivision	Chronological Subdivision	1	0	2				0	0	0		
	210	4	Relator Code	Relator Code	1	0	2				0	0	0		
	210	7	Script	Script	0	0	2				0	0	0		
	210	8	Language of Cataloguing	Language of Cataloguing	0	0	2				0	0	0		
	210	a	Entry Element	Entry Element	0	0	2				0	0	0		
	210	b	Subdivision	Subdivision	1	0	2				0	0	0		
	210	c	Additions to Name or Qualifier	Additions to Name or Qualifier	1	0	2				0	0	0		
	210	d	Number of Meeting	Number of Meeting	0	0	2				0	0	0		
	210	e	Location of Meeting	Location of Meeting	0	0	2				0	0	0		
	210	f	Date of Meeting	Date of Meeting	0	0	2				0	0	0		
	210	g	Inverted Element	Inverted Element	0	0	2				0	0	0		
	210	h	Part of Name Other than Entry Element and Inverted Element	Part of Name Other than Entry Element and Inverted Element	0	0	2				0	0	0		
	210	j	Form Subdivision	Form Subdivision	0	0	2		NULL		0	0	0		
	210	x	Topical Subdivision	Topical Subdivision	1	0	2				0	0	0		
	210	y	Geographical Subdivision	Geographical Subdivision	1	0	2				0	0	0		
	210	z	Chronological Subdivision	Chronological Subdivision	1	0	2				0	0	0		
	215	7	Script	Script	0	0	2				0	0	0		
	215	8	Language of Cataloguing	Language of Cataloguing	0	0	2				0	0	0		
	215	a	Entry Element	Entry Element	0	0	2				0	0	0		
	215	j	Form Subdivision	Form Subdivision	1	0	2				0	0	0		
	215	x	Topical Subdivision	Topical Subdivision	1	0	2				0	0	0		
	215	y	Geographical Subdivision	Geographical Subdivision	1	0	2				0	0	0		
	215	z	Chronological Subdivision	Chronological Subdivision	1	0	2				0	0	0		
	216	7	Script	Script	0	0	2				0	0	0		
	216	8	Language of Cataloguing and Language of the Base Heading	Language of Cataloguing and Language of the Base Heading	0	0	2				0	0	0		
	216	a	Entry Element	Entry Element	0	0	2				0	0	0		
	216	c	Qualification	Qualification	1	0	2				0	0	0		
	216	f	Dates	Dates	0	0	2				0	0	0		
	216	j	Form Subdivision	Form Subdivision	1	0	2				0	0	0		
	216	x	Topical Subdivision	Topical Subdivision	1	0	2				0	0	0		
	216	y	Geographical Subdivision	Geographical Subdivision	1	0	2				0	0	0		
	216	z	Chronological Subdivision	Chronological Subdivision	1	0	2				0	0	0		
	220	4	Relator Code	Relator Code	1	0	2				0	0	0		
	220	7	Script of Cataloguing and Script of the Base Heading	Script of Cataloguing and Script of the Base Heading	0	0	2				0	0	0		
	220	8	Language of Cataloguing and Language of the Base Heading	Language of Cataloguing and Language of the Base Heading	0	0	2				0	0	0		
	220	a	Entry Element	Entry Element	0	0	2				0	0	0		
	220	f	Dates	Dates	0	0	2				0	0	0		
	220	j	Form Subdivision	Form Subdivision	1	0	2				0	0	0		
	220	x	Topical Subdivision	Topical Subdivision	1	0	2				0	0	0		
	220	y	Geographical Subdivision	Geographical Subdivision	1	0	2				0	0	0		
	220	z	Chronological Subdivision	Chronological Subdivision	1	0	2				0	0	0		
	230	7	Script	Script	0	0	2				0	0	0		
	230	8	Language of Cataloguing	Language of Cataloguing	0	0	2				0	0	0		
	230	a	Entry Element	Entry Element	0	0	2				0	0	0		
	230	b	General Material Designation	General Material Designation	1	0	2				0	0	0		
	230	h	Number of Section or Part	Number of Section or Part	1	0	2				0	0	0		
	230	i	Name of Section or Part	Name of Section or Part	1	0	2				0	0	0		
	230	j	Form Subdivision	Form Subdivision	1	0	2				0	0	0		
	230	k	Date of Publication	Date of Publication	0	0	2				0	0	0		
	230	l	Form Subheading	Form Subheading	0	0	2				0	0	0		
	230	m	Language (when Part of Heading)	Language (when Part of Heading)	0	0	2				0	0	0		
	230	n	Miscellaneous Information	Miscellaneous Information	0	0	2		NULL		0	0	0		
	230	q	Version (or Date of Version)	Version (or Date of Version)	0	0	2				0	0	0		
	230	r	Medium of Performance (for Music)	Medium of Performance (for Music)	1	0	2				0	0	0		
	230	s	Numeric Designation (for Music)	Numeric Designation (for Music)	1	0	2				0	0	0		
	230	u	Key (for Music)	Key (for Music)	0	0	2				0	0	0		
	230	w	Arranged Statement (for Music)	Arranged Statement (for Music)	0	0	2				0	0	0		
	230	x	Topical Subdivision	Topical Subdivision	1	0	2				0	0	0		
	230	y	Geographical Subdivision	Geographical Subdivision	1	0	2				0	0	0		
	230	z	Chronological Subdivision	Chronological Subdivision	1	0	2				0	0	0		
	235	7	Script of Cataloguing and Script of the Base Heading	Script of Cataloguing and Script of the Base Heading	0	0	2				0	0	0		
	235	8	Language of Cataloguing and Language of the Base Heading	Language of Cataloguing and Language of the Base Heading	0	0	2				0	0	0		
