"tagfield","liblibrarian","libopac","repeatable","mandatory","authorised_value","frameworkcode"
"000","LEADER","LEADER","0","1","","T5"
"001","CONTROL NUMBER","CONTROL NUMBER","0","0","","T5"
"003","CONTROL NUMBER IDENTIFIER","CONTROL NUMBER IDENTIFIER","0","1","","T5"

"#-#","#-#","#-#","#-#","#-#","#-#","#-#"

"tagfield","tagsubfield","liblibrarian","libopac","repeatable","mandatory","kohafield","tab","authorised_value","authtypecode","value_builder","isurl","hidden","frameworkcode","seealso","link","defaultvalue","maxlength"
"000","@","fixed length control field","fixed length control field","0","1","","0","","","marc21_leader.pl","0","0","T5","","","","24"
"001","@","control field","control field","0","0","","0","","","","0","0","T5","","","","9999"
"003","@","control field","control field","0","1","","0","","","marc21_orgcode.pl","0","0","T5","","","","9999"
"005","@","control field","control field","0","1","","0","","","marc21_field_005.pl","0","0","T5","","","","9999"
"007","@","fixed length control field","fixed length control field","0","0","","0","","","marc21_field_007.pl","0","0","T5","","","","9999"
"008","@","fixed length control field","fixed length control field","0","1","","0","","","marc21_field_008.pl","0","0","T5","","","","40"
"010","8","Field link and sequence number","Field link and sequence number","1","0","","0","","","","0","-6","T5","","","","9999"
"010","b","NUCMC control number","NUCMC control number","1","0","","0","","","","0","-1","T5","","","","9999"

"#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#"
